Familia,Num_Grupo,Grupo,ID,Producto,Formato_Venta,Coste (€),Precio de venta (€)
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,3229,AZ-BOQUERON-ENT-G-30/40-IQF,KG,7.62,7.62
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,3255,AZ-CAZON/CAELLA/GATA S/P (TACOS),KG,8.54,8.54
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,293,AZ-SALMÓN-COLAS-COHO-PZ/300/400 APROX,KG,9.46,9.46
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,8106,EMPERADOR (LOMOS ENTEROS)-S/HUESO,KG,2.05,2.05
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,859,COLAS ROSADA IQF,KG,4.79,4.79
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,8120,AZ-SALMON-LOMITOS C/P 125/150 G,KG,6.76,6.76
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,8288,HG-FIL-DE CABALLA-C/P- B/750 G (PBO),UND,5.54,5.54
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,7231,AZ-FIL-BOQUERON-IQF/PBO,KG,5.33,5.33
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,869,EMPERADOR-CORTADA (P)-B/640 G,UND,9.68,9.68
PESCADOS ULTRACONGELADOS,010,Pescados - Azules,946,EMPERADOR LIMPIO (TAQUITOS) B/450 GR,UND,5.58,5.58
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),6859,ROD. ROSADA AUSTRAL 200/300,KG,2.4,2.4
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),3131,AZ-ATUN LOMOS/YELLOWFINE (TRTD)(PBO),KG,3.16,3.16
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),3231,AZ-BOQUERON ENT.40/60- B/1 KG.,UND,3.08,3.08
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),3243,AZ-SARDINAS ENTERAS-15/20-PZ/KG,KG,7.97,7.97
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),3343,AZ-FIL-SARDINA-(IQF),KG,2.02,2.02
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),2139,AZ-SALMON-COHO-SALAR-ROD-(IQF),KG,2.88,2.88
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),2149,AZ-FIL-PALOMETA S/PIEL 115/170-(PBO),KG,6.39,6.39
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),6131,AZ-ATUN-PUNTAS/YELLOWFINE-(TRTD)-(PBO),KG,0.62,0.62
PESCADOS ULTRACONGELADOS,011,Pescados - Azules (HRC),554,AZ-LOMITOS DE TRUCHA S/P 125 GR.,UND,1.69,1.69
PESCADOS ULTRACONGELADOS,020,Bacalao,3791,BAC-BLCO-TROZOS-(IQF),KG,7.03,7.03
PESCADOS ULTRACONGELADOS,020,Bacalao,2096,BAC-BLCO-SUPREMA 80/120 (PBO),KG,3.06,3.06
PESCADOS ULTRACONGELADOS,020,Bacalao,2190,BAC-GRIS-FLT-500/1000 1ª 10%,KG,2.29,2.29
PESCADOS ULTRACONGELADOS,020,Bacalao,224,BAC-BLCO-LOMITOS 2X125(VC),UND,2.24,2.24
PESCADOS ULTRACONGELADOS,020,Bacalao,2253,BAC-FLT-JUMBO+1500,KG,5.89,5.89
PESCADOS ULTRACONGELADOS,020,Bacalao,2254,BAC-BLCO-FLT-1000+ 1ª-10%,KG,3.38,3.38
PESCADOS ULTRACONGELADOS,020,Bacalao,254,BAC-BLCO-LOMOS-(SELECTO),KG,9.72,9.72
PESCADOS ULTRACONGELADOS,020,Bacalao,1792,BAC-BLCO-COCOCHAS-(BLQ),KG,6.17,6.17
PESCADOS ULTRACONGELADOS,020,Bacalao,1793,BAC-BLCO-LOMOS-200-250 G-(GRAN GOLIAT),KG,4.03,4.03
PESCADOS ULTRACONGELADOS,020,Bacalao,1795,BAC-BLCO-LOMOS 200/300 (IWP),KG,7.81,7.81
PESCADOS ULTRACONGELADOS,020,Bacalao,125,BAC-GRIS-LOMOS-HG 150/400 P/SAL,KG,9.11,9.11
PESCADOS ULTRACONGELADOS,020,Bacalao,1254,BAC-GRIS-SUPREMA-130/190-P/SAL,KG,7.19,7.19
PESCADOS ULTRACONGELADOS,020,Bacalao,1485,BAC-BLCO-FLT-500/1000  1ª-10%,KG,9.32,9.32
PESCADOS ULTRACONGELADOS,020,Bacalao,3253,BAC-BLCO-LOMO-JUMBO +700 GRS-(IQF),KG,5.72,5.72
PESCADOS ULTRACONGELADOS,020,Bacalao,3254,BAC-FIL-GRIS 500/1000,KG,7.39,7.39
PESCADOS ULTRACONGELADOS,020,Bacalao,3190,BAC-GRIS-FLT-500/1000 (1ª),KG,2.13,2.13
PESCADOS ULTRACONGELADOS,020,Bacalao,37,BAC-GRIS-LOMITOS B/850 GR,UND,5.39,5.39
PESCADOS ULTRACONGELADOS,020,Bacalao,3125,BAC-GRIS-FLT-1000+10%(1ª),KG,6.88,6.88
PESCADOS ULTRACONGELADOS,020,Bacalao,3096,BAC-BLCO-VENTRESCA S/ESP-(PBO),KG,1.6,1.6
PESCADOS ULTRACONGELADOS,020,Bacalao,8254,BAC-GRIS-SUPREMA P/SAL 180/250,KG,3.84,3.84
PESCADOS ULTRACONGELADOS,020,Bacalao,8096,BAC-TROZOS BACALAO (FRITURA),KG,8.28,8.28
PESCADOS ULTRACONGELADOS,020,Bacalao,791,BAC-BLCO-TROZOS B/450 G,UND,3.39,3.39
PESCADOS ULTRACONGELADOS,020,Bacalao,795,BAC-BLCO-LOMOS 300+ (IWP),KG,8.46,8.46
PESCADOS ULTRACONGELADOS,020,Bacalao,96,BAC-BLCO-SUPREMAS B/450 GR,UND,2.54,2.54
PESCADOS ULTRACONGELADOS,021,Pescados (IWP),790,FIL-MARUCA/MARIPOSA-C/P-(ITF)-700/1200,KG,8.22,8.22
PESCADOS ULTRACONGELADOS,021,Pescados (IWP),3126,MERL-SOLOMILLOS-C/P-IWP-PZ-80/120 (PBO),KG,5.17,5.17
PESCADOS ULTRACONGELADOS,021,Pescados (IWP),3199,FIL-MERL.VENTRESCA 80/100- (IWP)(PBO),KG,1.66,1.66
PESCADOS ULTRACONGELADOS,021,Pescados (IWP),3233,MERL-SUPREMAS-S/P-90/110 GR,KG,4.71,4.71
PESCADOS ULTRACONGELADOS,021,Pescados (IWP),3790,FIL-PEZ LIMON S/P 1000/2000,KG,2.98,2.98
PESCADOS ULTRACONGELADOS,022,Pescados - Hogar,5363,HG-FLT-PANGASIUS B/800 G.,UND,3.81,3.81
PESCADOS ULTRACONGELADOS,022,Pescados - Hogar,5476,HG-FIL-MERL-M-S/P-DESG-CPSS(4-6 PZ),KG,3.97,3.97
PESCADOS ULTRACONGELADOS,022,Pescados - Hogar,5008,HG-EMPERADOR (LOMOS A CORTADAS) B/3-4PZ,KG,9.95,9.95
PESCADOS ULTRACONGELADOS,022,Pescados - Hogar,5010,HG-ROD-MERL-G-(ESPECIAL)-FRIS B/800 GR,KG,0.8,0.8
PESCADOS ULTRACONGELADOS,022,Pescados - Hogar,5020,HG-MERL-SOLOMILLOS B/6-8 PZ,KG,6.0,6.0
PESCADOS ULTRACONGELADOS,022,Pescados - Hogar,5026,HG-PESCA -S/C- TRQ- B/6-10 PZ,KG,7.36,7.36
PESCADOS ULTRACONGELADOS,022,Pescados - Hogar,8128,HG-PLATIJA LIMPIA B/3 PZS,KG,7.11,7.11
PESCADOS ULTRACONGELADOS,022,Pescados - Hogar,7954,HG-AZ-FIL-LUBINA B/5-7-PZ,KG,5.65,5.65
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,6187,CAL-CALLO DADOS (IQF),KG,4.51,4.51
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,3488,CAL-POTA/TUBO-LIMP/ILLEX +23 CM,KG,6.88,6.88
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,3508,CAL-POTA/TUBO LMP-ILLEX (L) +22CM,KG,8.31,8.31
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,3135,CAL-POTA-ANILLA-GIGAS-(BLQ),KG,6.24,6.24
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,3157,CAL-POTA/TUBO-LMP-(ILLEX) (XL) +24CM,KG,9.43,9.43
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,3101,CAL-POTA/ANILLAS ILLEX IQF,KG,5.35,5.35
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,3108,CAL-POTA/TUBO-LMP-ILLEX-(L)+22/CM,KG,5.13,5.13
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,3010,CAL-POTA/TUBO LMP-(GIGAS) 200/400,KG,3.88,3.88
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,3011,CAL-POTA/TUBO LMP-(GIGAS) 200/400,KG,5.16,5.16
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,157,CAL-POTA/TUBO LMP- B/700 G-GIGAS,KG,4.22,4.22
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,1187,BOTONES DE POTON,KG,1.73,1.73
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,119,CAL-CHIPIRON-LIMPIO C/P-(PTG)-B/450 GR,UND,7.86,7.86
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,101,CAL-POTA/ANILLAS-GIGAS IQF-B/700 G,UND,4.02,4.02
PESCADOS ULTRACONGELADOS,030,Calamares - Pota Limpia,187,CAL-POTON TIRAS-(GIGAS)-(IQF),KG,8.68,8.68
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,210,TINTA DE CALAMAR/SEPIA 2 UND,UND,3.63,3.63
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,256,CAL-LOLIGO/VLG-(FAO/27)-PLAY-ENT-250/500,KG,8.04,8.04
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,236,CAL-(LOLIGO/VLG)-PLAYA-50/90-(5),KG,3.82,3.82
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,22,CAL-PUNT- (FAO/34)-(BLANCAMAR) B/1 KG,KG,9.5,9.5
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,1068,CAL-LOLIGO/VLG-FAO/34-800/1200 IWP-(G/B),KG,6.53,6.53
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,1210,TINTA DE SEPIA/CALAMAR B/500 GR,UND,4.13,4.13
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,1119,CAL-LOLIGO/VLG(FAO/27-)PLAYA-300/500-IQF,KG,4.92,4.92
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,2975,CAL-POTA/TUBO (RIAZOR),KG,2.4,2.4
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,3325,CAL-LOLIGO/VLG-(FAO/34)-450/750-IWP(M/B),KG,5.54,5.54
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,3179,CAL-LOLIGO/VLG-FAO-34 +1000-IWP-(GG/B),KG,7.3,7.3
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,6237,CAL-LOLIGO/VLG-(FAO/27)-PLAYA-1000+,KG,1.33,1.33
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,6239,CAL-LOLIGO/VLG-(FAO/27)-PLAYA-300/500-BL,KG,6.02,6.02
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,61,CAL-PUNT- (MARRC)-E (2X500) GR,UND,4.49,4.49
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,6020,CAL-LOLIGO/VLG-(FAO/34)-80/150-IWP-3P/B,KG,8.71,8.71
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,6000,CAL-LOLIGO/VLG-(FAO/34)200/350-IWP(2P/B),KG,8.28,8.28
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,6256,CAL-LOLIGO/VLG-(FAO/34)250/450-IWP-(P/B),KG,6.65,6.65
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,7256,CAL-LOLIGO/VLG-(FAO/34)-300/500-IWP(P/T),KG,9.95,9.95
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,7325,CAL-LOLIGO/VLG-(FAO/34)-450/700 IWP(M/T),KG,8.21,8.21
PESCADOS ULTRACONGELADOS,032,Calamares - Loligo,7000,CAL-LOLIGO/VLG-(FAO/34)200/350-IWP(2P/T),KG,1.25,1.25
PESCADOS ULTRACONGELADOS,033,Calamares - Voladores Potas,3283,CAL-VOLADOR/POTA-M-FAO 41-18/24-(ILLEX),KG,4.67,4.67
PESCADOS ULTRACONGELADOS,033,Calamares - Voladores Potas,3591,CAL-REJOS-LIMPIO POTA IQF,KG,7.66,7.66
PESCADOS ULTRACONGELADOS,033,Calamares - Voladores Potas,283,CAL-VOLADOR/POTA-(TRC-IQF),KG,7.27,7.27
PESCADOS ULTRACONGELADOS,033,Calamares - Voladores Potas,1283,CAL-VOLADOR/POTA (S)FAO41-14/18CM,KG,9.89,9.89
PESCADOS ULTRACONGELADOS,033,Calamares - Voladores Potas,108,CAL-VOLADOR/POTA-14/22-(IQF)-(ILLEX),KG,5.28,5.28
PESCADOS ULTRACONGELADOS,034,Calamares - Puntillas,1007,CAL-PUNT(JAPONICA)IQF S/PLM B/800G-4/6,UND,9.28,9.28
PESCADOS ULTRACONGELADOS,034,Calamares - Puntillas,1289,CAL-PUNT-(INDIA)-IQF-S/PLM- B/800G,UND,7.08,7.08
PESCADOS ULTRACONGELADOS,034,Calamares - Puntillas,2164,CAL-PUNT-(INDIA)80/100-UP -LVD-900G,UND,0.9,0.9
PESCADOS ULTRACONGELADOS,034,Calamares - Puntillas,2176,CAL-PUNT-(CHINEN/SPP)-IQF-S/PLM- B/800G,UND,4.37,4.37
PESCADOS ULTRACONGELADOS,034,Calamares - Puntillas,176,CAL-PUNT-(CHINENSIS)IQF S/PL B/425GR-3/6,UND,7.64,7.64
PESCADOS ULTRACONGELADOS,034,Calamares - Puntillas,3164,CAL-PUNT-(INDIA)80-UP -LVD-900G,UND,5.67,5.67
PESCADOS ULTRACONGELADOS,034,Calamares - Puntillas,3289,CAL-PUNT-(INDIA)-4/7-IQF-S/PLM- B/800G,UND,2.78,2.78
PESCADOS ULTRACONGELADOS,034,Calamares - Puntillas,3176,CAL-PUNT-(CHINEN/SPP)-IQF-S/PLM- B/800G,UND,1.87,1.87
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,3181,CAL-LOLIGO/VLG-(FAO/27)PLAYA-500/1000,KG,1.51,1.51
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,3276,CAL-CHIPIRON-(PTG)-11/14 (C/G),KG,6.72,6.72
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,3561,CAL-LIMPIO 10/20-30% INDIA,KG,1.83,1.83
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,3107,CAL-CHIPIRON-(PTG)-9-11 (C/GND),KG,1.18,1.18
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,3079,CAL-REJO-COCIDO IQF,KG,2.05,2.05
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,276,CAL-CHIPIRON-(PTG-4)-10/13 (C/PQÑ),KG,6.31,6.31
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,211,CAL-CHIPIRON-(TROC) (INDIA) B/400 G,UND,9.45,9.45
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,1006,CAL-CHIPIRON- (TRC)-(INDIA ) B/800 GR,UND,1.69,1.69
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,107,CAL-CHIPIRON-(PTG)-(IQF),KG,2.04,2.04
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,1211,CAL-CHIPIRON-(PTG)-TROC. B/900G,UND,8.93,8.93
PESCADOS ULTRACONGELADOS,035,Calamares - Chipirones,5068,HG-CAL-F-PATAGONICO B/14/18 PZ,KG,3.49,3.49
PESCADOS ULTRACONGELADOS,036,Calamares - Chipirones/Troceados,3211,CAL-CHIPIRON-(TROC) (INDIA) B/800GR,UND,5.49,5.49
