Familia,Grupo,ID,Producto,Formato_Venta,Coste (€),Precio de venta (€),Margen Beneficio (€),% Beneficio,Ratio Precio/Costo
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),525,MAIZ DULCE-B/450GR,UND,1.92,10.84,8.92,459.99999999999994,5.645833333333333
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),406,GARROFON-B/400GR,UND,14.75,54.75,40.0,270.0,3.711864406779661
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),414,JUDIA-VERDE PLANA -B/400 GR,UND,9.94,53.76,43.82,440.00000000000006,5.408450704225352
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),390,ACELGAS-B/400 GR,UND,1.9,10.8,8.9,470.0,5.68421052631579
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),379,HABAS-BABY-1ª-B/400GR (NCNAL),UND,12.3,31.6,19.3,160.0,2.5691056910569103
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),184,CARDO TROCEADO-B/450 GR,UND,14.1,70.4,56.300000000000004,400.0,4.99290780141844
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),248,ZANAHORIA BABY-400 GR,UND,9.03,12.53,3.5,40.0,1.3875968992248062
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),264,ALUBIA-BLANCA-B/400 GR,UND,8.13,34.89,26.759999999999998,330.0,4.291512915129151
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),1248,ZANAHORIA BABY-8/14-(IQF),KG,7.79,45.16,37.37,480.0,5.797175866495507
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),1592,EDAMAME VAINAS SOJA VERDE B/500GR,UND,1.39,14.67,13.28,960.0,10.553956834532375
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),1600,EDAMAME PELADO SOJA VERDE B/500GR,UND,2.12,5.62,3.5,170.0,2.650943396226415
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),17,ESPARRAGOS-VER-TROC-B/300GR,UND,5.13,25.89,20.76,400.0,5.046783625730995
VERDURAS,MONOPRODUCTO 400 gr (Formato pequeño tienda),18,ESPINACA HOJA-EXTRA-P/400GR,UND,9.0,12.5,3.5,40.0,1.3888888888888888
VERDURAS,MONOPRODUCTO 1000 gr (Formato grande tienda),1,NUBE 16/01/2021,KG,14.66,54.48,39.81999999999999,270.0,3.7162346521145975
VERDURAS,MEZCLAS - FORMATO HORECA,6027,"MENESTRA VERDURAS 2,5 KG",UND,13.23,16.73,3.5,30.0,1.2645502645502646
VERDURAS,MEZCLAS - FORMATO HORECA,6033,PIMIENTO-VERDE (10X10) -B/2.5KG,UND,14.81,18.31,3.4999999999999982,20.0,1.2363268062120187
VERDURAS,MEZCLAS - FORMATO HORECA,6034,PIMIENTO-ROJO-(10X10)-B/2.5KG,KG,13.15,66.6,53.449999999999996,409.99999999999994,5.064638783269961
VERDURAS,MEZCLAS - FORMATO HORECA,6036,"VERDURA-PAELLA-B/2,5KG",UND,13.3,16.8,3.5,30.0,1.263157894736842
VERDURAS,MEZCLAS - FORMATO HORECA,6012,ENSALADILLA RUSA 2.5 KG,UND,8.62,48.48,39.86,459.99999999999994,5.624129930394432
VERDURAS,MEZCLAS - FORMATO HORECA,6002,"ALCACHOFAS CORTADAS B/2,5KG",UND,10.49,41.97,31.479999999999997,300.0,4.00095328884652
VERDURAS,MEZCLAS - FORMATO HORECA,8033,PIMIENTO TIRAS TRICOLOR B/2.5 KG,UND,10.84,28.68,17.84,160.0,2.6457564575645756
VERDURAS,"MONOPRODUCTO GRANEL COLES, ZANAHORIA, MENESTRA, ALCACHOFAS",6069,ALCACHOFAS-CORTADA-(IQF),KG,8.1,23.2,15.1,190.0,2.8641975308641974
PESCADOS ULTRACONGELADOS,Pescados - Azules,6120,AZ-SALMÓN-SALAR LOMITOS S/P 2x125 G/PBO,UND,10.39,27.78,17.39,170.0,2.673724735322425
PESCADOS ULTRACONGELADOS,Pescados - Azules,5064,AZ-BOQUERON-ENT-80 + (FRITURA) B/1 KG,UND,4.13,15.26,11.129999999999999,270.0,3.694915254237288
PESCADOS ULTRACONGELADOS,Pescados - Azules,5131,AZ-ATUN-VENTRESCAS S/PIEL (VC)(PBO),KG,10.04,54.16,44.12,440.00000000000006,5.394422310756973
PESCADOS ULTRACONGELADOS,Pescados - Azules,3855,AZ-BOQUERON LIMPIO-HG-(FRITURA),KG,9.51,52.04,42.53,450.0,5.472134595162986
PESCADOS ULTRACONGELADOS,Pescados - Azules,3946,EMPERADOR LIMPIO (TAQUITOS) (IQF),KG,10.17,13.67,3.5,30.0,1.3441494591937069
PESCADOS ULTRACONGELADOS,Pescados - Azules,4182,AZS-FIL-DORADA C/P 120-180 GR/PZ,KG,7.74,44.96,37.22,480.0,5.808785529715762
PESCADOS ULTRACONGELADOS,Pescados - Azules,4226,EMPERADOR (CENTRO-G-CORTADAS),KG,7.7,11.2,3.499999999999999,50.0,1.4545454545454544
PESCADOS ULTRACONGELADOS,Pescados - Azules,131,AZ-ATUN FILETES (VC) 1x4.5 KG,KG,4.39,15.78,11.39,260.0,3.5945330296127564
PESCADOS ULTRACONGELADOS,Pescados - Azules,111,EMPERADOR (CRTD/ EXTRA),KG,7.74,11.24,3.5,50.0,1.4521963824289406
PESCADOS ULTRACONGELADOS,Pescados - Azules,1131,AZ-ATUN SOLOMILLO 225 GR NETO (NATURAL),UND,14.0,17.5,3.5,20.0,1.25
PESCADOS ULTRACONGELADOS,Pescados - Azules,1149,AZ-FIL-PALOMETA S/PIEL(IQF)100/200 (PBO),KG,3.58,21.24,17.659999999999997,490.00000000000006,5.932960893854748
PESCADOS ULTRACONGELADOS,Pescados - Azules,2120,AZ-SALMON-SALVAJE-PORCION-(IQF)(PBO),KG,12.06,62.24,50.18,420.0,5.160862354892205
PESCADOS ULTRACONGELADOS,Pescados - Azules,1770,AZ-CAELLA LOMITOS 125GR APROX IQF(PBO),KG,8.24,11.74,3.5,40.0,1.424757281553398
PESCADOS ULTRACONGELADOS,Pescados - Azules,3554,AZ-TRUCHA LIMPIA (DSP) PZ-260 GR APROX,UND,8.95,37.35,28.400000000000002,320.0,4.1731843575419
PESCADOS ULTRACONGELADOS,Pescados - Azules,3188,AZ-FIL-CABALLA-C/PIEL PBI,KG,8.34,23.68,15.34,180.0,2.839328537170264
PESCADOS ULTRACONGELADOS,Pescados - Azules,3229,AZ-BOQUERON-ENT-G-30/40-IQF,KG,8.68,12.18,3.5,40.0,1.403225806451613
PESCADOS ULTRACONGELADOS,Pescados - Azules,3255,AZ-CAZON/CAELLA/GATA S/P (TACOS),KG,11.8,45.9,34.099999999999994,290.0,3.889830508474576
PESCADOS ULTRACONGELADOS,Pescados - Azules,293,AZ-SALMÓN-COLAS-COHO-PZ/300/400 APROX,KG,4.16,7.66,3.5,80.0,1.8413461538461537
PESCADOS ULTRACONGELADOS,Pescados - Azules,8106,EMPERADOR (LOMOS ENTEROS)-S/HUESO,KG,8.49,47.96,39.47,459.99999999999994,5.648998822143699
PESCADOS ULTRACONGELADOS,Pescados - Azules,859,COLAS ROSADA IQF,KG,9.77,39.81,30.040000000000003,310.0,4.074718526100307
PESCADOS ULTRACONGELADOS,Pescados - Azules,8120,AZ-SALMON-LOMITOS C/P 125/150 G,KG,1.84,21.36,19.52,1060.0,11.608695652173912
PESCADOS ULTRACONGELADOS,Pescados - Azules,8288,HG-FIL-DE CABALLA-C/P- B/750 G (PBO),UND,13.68,51.54,37.86,280.0,3.767543859649123
PESCADOS ULTRACONGELADOS,Pescados - Azules,7231,AZ-FIL-BOQUERON-IQF/PBO,KG,8.49,35.97,27.479999999999997,320.0,4.236749116607774
PESCADOS ULTRACONGELADOS,Pescados - Azules,869,EMPERADOR-CORTADA (P)-B/640 G,UND,4.61,24.33,19.72,430.0,5.277657266811279
PESCADOS ULTRACONGELADOS,Pescados - Azules,946,EMPERADOR LIMPIO (TAQUITOS) B/450 GR,UND,5.08,8.58,3.5,70.0,1.6889763779527558
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),6859,ROD. ROSADA AUSTRAL 200/300,KG,12.69,32.38,19.690000000000005,160.0,2.551615445232467
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),3131,AZ-ATUN LOMOS/YELLOWFINE (TRTD)(PBO),KG,1.57,5.07,3.5,220.00000000000003,3.229299363057325
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),3231,AZ-BOQUERON ENT.40/60- B/1 KG.,UND,13.23,16.73,3.5,30.0,1.2645502645502646
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),3243,AZ-SARDINAS ENTERAS-15/20-PZ/KG,KG,13.13,33.26,20.129999999999995,150.0,2.533130236100533
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),3343,AZ-FIL-SARDINA-(IQF),KG,10.68,56.72,46.04,430.0,5.310861423220974
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),2139,AZ-SALMON-COHO-SALAR-ROD-(IQF),KG,10.38,27.76,17.380000000000003,170.0,2.674373795761079
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),2149,AZ-FIL-PALOMETA S/PIEL 115/170-(PBO),KG,1.57,20.28,18.71,1190.0,12.9171974522293
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),6131,AZ-ATUN-PUNTAS/YELLOWFINE-(TRTD)-(PBO),KG,10.86,28.72,17.86,160.0,2.6445672191528544
PESCADOS ULTRACONGELADOS,Pescados - Azules (HRC),554,AZ-LOMITOS DE TRUCHA S/P 125 GR.,UND,14.64,54.42,39.78,270.0,3.7172131147540983
PESCADOS ULTRACONGELADOS,Bacalao,3791,BAC-BLCO-TROZOS-(IQF),KG,9.15,37.95,28.800000000000004,310.0,4.147540983606557
PESCADOS ULTRACONGELADOS,Bacalao,2096,BAC-BLCO-SUPREMA 80/120 (PBO),KG,12.88,16.38,3.4999999999999982,30.0,1.2717391304347825
PESCADOS ULTRACONGELADOS,Bacalao,2190,BAC-GRIS-FLT-500/1000 1ª 10%,KG,14.16,52.98,38.81999999999999,270.0,3.741525423728813
PESCADOS ULTRACONGELADOS,Bacalao,224,BAC-BLCO-LOMITOS 2X125(VC),UND,8.02,34.56,26.540000000000003,330.0,4.30922693266833
PESCADOS ULTRACONGELADOS,Bacalao,2253,BAC-FLT-JUMBO+1500,KG,13.08,16.58,3.4999999999999982,30.0,1.2675840978593271
PESCADOS ULTRACONGELADOS,Bacalao,2254,BAC-BLCO-FLT-1000+ 1ª-10%,KG,3.41,20.73,17.32,509.99999999999994,6.0791788856304985
PESCADOS ULTRACONGELADOS,Bacalao,254,BAC-BLCO-LOMOS-(SELECTO),KG,5.37,35.48,30.109999999999996,560.0,6.607076350093109
PESCADOS ULTRACONGELADOS,Bacalao,1792,BAC-BLCO-COCOCHAS-(BLQ),KG,3.16,13.32,10.16,320.0,4.215189873417722
PESCADOS ULTRACONGELADOS,Bacalao,1793,BAC-BLCO-LOMOS-200-250 G-(GRAN GOLIAT),KG,11.62,30.24,18.619999999999997,160.0,2.602409638554217
PESCADOS ULTRACONGELADOS,Bacalao,1795,BAC-BLCO-LOMOS 200/300 (IWP),KG,12.3,31.6,19.3,160.0,2.5691056910569103
PESCADOS ULTRACONGELADOS,Bacalao,125,BAC-GRIS-LOMOS-HG 150/400 P/SAL,KG,1.72,15.66,13.94,810.0,9.104651162790699
PESCADOS ULTRACONGELADOS,Bacalao,1254,BAC-GRIS-SUPREMA-130/190-P/SAL,KG,4.3,7.8,3.5,80.0,1.8139534883720931
PESCADOS ULTRACONGELADOS,Bacalao,1485,BAC-BLCO-FLT-500/1000  1ª-10%,KG,6.87,20.74,13.869999999999997,200.0,3.018922852983988
PESCADOS ULTRACONGELADOS,Bacalao,3253,BAC-BLCO-LOMO-JUMBO +700 GRS-(IQF),KG,7.39,43.56,36.17,490.00000000000006,5.894451962110962
PESCADOS ULTRACONGELADOS,Bacalao,3254,BAC-FIL-GRIS 500/1000,KG,11.19,58.76,47.57,430.0,5.251117068811439
PESCADOS ULTRACONGELADOS,Bacalao,3190,BAC-GRIS-FLT-500/1000 (1ª),KG,3.88,7.38,3.5,90.0,1.9020618556701032
PESCADOS ULTRACONGELADOS,Bacalao,37,BAC-GRIS-LOMITOS B/850 GR,UND,14.26,17.76,3.5000000000000018,20.0,1.2454417952314167
PESCADOS ULTRACONGELADOS,Bacalao,3125,BAC-GRIS-FLT-1000+10%(1ª),KG,7.31,10.81,3.500000000000001,50.0,1.478796169630643
PESCADOS ULTRACONGELADOS,Bacalao,3096,BAC-BLCO-VENTRESCA S/ESP-(PBO),KG,8.73,24.46,15.73,180.0,2.801832760595647
PESCADOS ULTRACONGELADOS,Bacalao,8254,BAC-GRIS-SUPREMA P/SAL 180/250,KG,1.83,15.99,14.16,770.0,8.737704918032787
PESCADOS ULTRACONGELADOS,Bacalao,8096,BAC-TROZOS BACALAO (FRITURA),KG,7.07,31.71,24.64,350.0,4.485148514851485
PESCADOS ULTRACONGELADOS,Bacalao,791,BAC-BLCO-TROZOS B/450 G,UND,3.62,14.24,10.620000000000001,290.0,3.9337016574585633
PESCADOS ULTRACONGELADOS,Bacalao,795,BAC-BLCO-LOMOS 300+ (IWP),KG,13.15,49.95,36.800000000000004,280.0,3.7984790874524714
PESCADOS ULTRACONGELADOS,Bacalao,96,BAC-BLCO-SUPREMAS B/450 GR,UND,11.82,45.96,34.14,290.0,3.8883248730964466
PESCADOS ULTRACONGELADOS,Pescados (IWP),790,FIL-MARUCA/MARIPOSA-C/P-(ITF)-700/1200,KG,7.07,31.71,24.64,350.0,4.485148514851485
PESCADOS ULTRACONGELADOS,Pescados (IWP),3126,MERL-SOLOMILLOS-C/P-IWP-PZ-80/120 (PBO),KG,13.41,33.82,20.41,150.0,2.52199850857569
PESCADOS ULTRACONGELADOS,Pescados (IWP),3199,FIL-MERL.VENTRESCA 80/100- (IWP)(PBO),KG,6.26,39.04,32.78,520.0,6.236421725239617
PESCADOS ULTRACONGELADOS,Pescados (IWP),3233,MERL-SUPREMAS-S/P-90/110 GR,KG,14.94,55.32,40.38,270.0,3.70281124497992
PESCADOS ULTRACONGELADOS,Pescados (IWP),3790,FIL-PEZ LIMON S/P 1000/2000,KG,11.84,61.36,49.519999999999996,420.0,5.1824324324324325
PESCADOS ULTRACONGELADOS,Pescados - Hogar,5363,HG-FLT-PANGASIUS B/800 G.,UND,11.83,15.33,3.5,30.0,1.2958579881656804
PESCADOS ULTRACONGELADOS,Pescados - Hogar,5476,HG-FIL-MERL-M-S/P-DESG-CPSS(4-6 PZ),KG,2.28,11.56,9.280000000000001,409.99999999999994,5.0701754385964914
PESCADOS ULTRACONGELADOS,Pescados - Hogar,5008,HG-EMPERADOR (LOMOS A CORTADAS) B/3-4PZ,KG,5.13,34.52,29.390000000000004,570.0,6.729044834307993
PESCADOS ULTRACONGELADOS,Pescados - Hogar,5010,HG-ROD-MERL-G-(ESPECIAL)-FRIS B/800 GR,KG,5.65,9.15,3.5,60.0,1.6194690265486724
PESCADOS ULTRACONGELADOS,Pescados - Hogar,5020,HG-MERL-SOLOMILLOS B/6-8 PZ,KG,9.17,25.34,16.17,180.0,2.763358778625954
PESCADOS ULTRACONGELADOS,Pescados - Hogar,5026,HG-PESCA -S/C- TRQ- B/6-10 PZ,KG,6.61,20.22,13.61,210.0,3.0590015128593038
PESCADOS ULTRACONGELADOS,Pescados - Hogar,8128,HG-PLATIJA LIMPIA B/3 PZS,KG,8.54,36.12,27.58,320.0,4.229508196721311
PESCADOS ULTRACONGELADOS,Pescados - Hogar,7954,HG-AZ-FIL-LUBINA B/5-7-PZ,KG,8.02,34.56,26.540000000000003,330.0,4.30922693266833
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,6187,CAL-CALLO DADOS (IQF),KG,8.59,24.18,15.59,180.0,2.8149010477299186
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,3488,CAL-POTA/TUBO-LIMP/ILLEX +23 CM,KG,5.47,26.91,21.44,390.0,4.9195612431444244
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,3508,CAL-POTA/TUBO LMP-ILLEX (L) +22CM,KG,5.64,9.14,3.500000000000001,60.0,1.620567375886525
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,3135,CAL-POTA-ANILLA-GIGAS-(BLQ),KG,1.08,4.58,3.5,320.0,4.2407407407407405
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,3157,CAL-POTA/TUBO-LMP-(ILLEX) (XL) +24CM,KG,0.91,8.82,7.91,869.9999999999999,9.692307692307692
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,3101,CAL-POTA/ANILLAS ILLEX IQF,KG,12.18,62.72,50.54,409.99999999999994,5.149425287356322
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,3108,CAL-POTA/TUBO-LMP-ILLEX-(L)+22/CM,KG,2.31,11.62,9.309999999999999,400.0,5.03030303030303
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,3010,CAL-POTA/TUBO LMP-(GIGAS) 200/400,KG,1.93,16.29,14.36,740.0,8.44041450777202
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,3011,CAL-POTA/TUBO LMP-(GIGAS) 200/400,KG,9.9,53.6,43.7,440.00000000000006,5.414141414141414
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,157,CAL-POTA/TUBO LMP- B/700 G-GIGAS,KG,1.5,15.0,13.5,900.0,10.0
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,1187,BOTONES DE POTON,KG,9.01,12.51,3.5,40.0,1.388457269700333
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,119,CAL-CHIPIRON-LIMPIO C/P-(PTG)-B/450 GR,UND,12.62,48.36,35.74,280.0,3.8320126782884314
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,101,CAL-POTA/ANILLAS-GIGAS IQF-B/700 G,UND,12.64,16.14,3.5,30.0,1.2768987341772151
PESCADOS ULTRACONGELADOS,Calamares - Pota Limpia,187,CAL-POTON TIRAS-(GIGAS)-(IQF),KG,6.31,29.43,23.12,370.0,4.664025356576863
PESCADOS ULTRACONGELADOS,Calamares - Loligo,210,TINTA DE CALAMAR/SEPIA 2 UND,UND,8.94,49.76,40.82,459.99999999999994,5.565995525727069
PESCADOS ULTRACONGELADOS,Calamares - Loligo,256,CAL-LOLIGO/VLG-(FAO/27)-PLAY-ENT-250/500,KG,3.6,21.3,17.7,490.00000000000006,5.916666666666667
PESCADOS ULTRACONGELADOS,Calamares - Loligo,236,CAL-(LOLIGO/VLG)-PLAYA-50/90-(5),KG,8.83,49.32,40.49,459.99999999999994,5.585503963759909
PESCADOS ULTRACONGELADOS,Calamares - Loligo,22,CAL-PUNT- (FAO/34)-(BLANCAMAR) B/1 KG,KG,11.06,29.12,18.060000000000002,160.0,2.632911392405063
PESCADOS ULTRACONGELADOS,Calamares - Loligo,1068,CAL-LOLIGO/VLG-FAO/34-800/1200 IWP-(G/B),KG,8.93,24.86,15.93,180.0,2.7838745800671894
PESCADOS ULTRACONGELADOS,Calamares - Loligo,1210,TINTA DE SEPIA/CALAMAR B/500 GR,UND,1.38,14.64,13.260000000000002,960.0,10.608695652173914
PESCADOS ULTRACONGELADOS,Calamares - Loligo,1119,CAL-LOLIGO/VLG(FAO/27-)PLAYA-300/500-IQF,KG,8.99,37.47,28.479999999999997,320.0,4.1679644048943265
PESCADOS ULTRACONGELADOS,Calamares - Loligo,2975,CAL-POTA/TUBO (RIAZOR),KG,12.13,62.52,50.39,420.0,5.154163231657049
